guardian;failures;schoolsup;paid;higher;romantic;goout;age;Passed
0;0;1;1;1;0;5;16;0
1;0;0;0;1;1;3;16;1
0;0;0;0;1;0;3;15;1
0;0;1;1;1;0;5;15;0
0;0;0;1;1;0;4;15;1
1;0;1;0;1;0;3;15;1
0;0;1;1;1;0;2;15;0
1;0;0;0;1;0;3;16;1
1;0;0;1;1;1;5;15;1
0;0;0;1;1;1;5;16;1
0;0;0;0;1;0;3;15;1
1;1;1;0;1;0;2;16;1
0;1;1;0;1;0;2;16;1
0;0;0;0;1;0;2;15;1
0;0;0;0;1;1;2;15;0
1;0;0;0;1;0;4;16;1
1;0;0;0;1;0;3;15;1
1;0;0;0;1;0;2;16;1
1;1;0;0;1;0;4;17;0
1;0;0;0;1;0;3;15;1
0;0;0;0;1;0;3;15;1
1;0;0;1;1;0;4;15;1
1;0;0;1;1;1;2;16;1
0;0;0;0;1;0;4;16;1
0;0;0;1;1;1;4;16;0
1;0;1;0;1;0;5;15;1
0;0;1;0;1;1;2;15;1
2;3;0;0;0;0;2;19;0
0;2;0;0;1;0;3;18;0
0;0;0;1;1;0;5;16;1
1;2;0;0;1;1;2;15;0
0;0;0;0;1;1;3;15;0
1;0;0;0;1;1;4;17;1
1;0;0;0;1;0;1;16;1
0;0;0;0;1;1;3;15;0
0;0;0;0;1;1;3;15;0
0;0;0;0;1;0;5;17;0
2;2;0;0;1;1;2;16;0
0;1;0;0;1;1;4;16;1
0;0;0;0;1;0;2;15;1
1;0;1;0;1;0;2;15;0
1;2;0;0;1;0;3;16;0
0;0;0;1;1;0;2;15;1
0;0;0;0;1;0;4;16;1
0;3;0;0;1;0;5;17;0
1;0;0;1;1;0;2;15;1
1;3;0;0;1;0;2;15;0
0;0;0;1;1;0;2;15;1
0;0;0;0;0;1;2;16;0
0;3;0;0;1;0;5;15;1
0;3;0;0;0;1;5;18;0
0;1;0;0;1;1;4;16;1
2;2;0;1;1;1;1;15;1
0;3;0;0;0;1;4;19;0
0;0;1;0;1;1;1;17;1
0;0;1;1;1;0;4;15;0
0;0;0;0;1;0;2;17;1
0;3;0;0;1;0;5;18;1
0;0;0;0;1;0;2;16;1
1;1;0;1;1;1;5;16;1
0;2;0;0;0;1;2;17;0
0;2;1;0;1;1;4;15;0
0;1;0;0;1;0;4;16;0
1;0;0;0;0;0;3;17;1
0;3;0;0;0;1;5;17;0
0;1;0;0;0;0;2;16;1
1;0;0;0;0;0;5;16;1
1;0;0;1;1;1;3;16;1
0;0;0;1;1;0;5;16;0
0;0;0;1;1;1;2;16;1
1;2;0;0;1;0;5;16;0
0;0;0;1;1;1;2;16;1
0;0;0;1;1;0;4;17;1
0;3;0;0;1;1;5;16;0
0;0;0;1;1;0;5;16;0
0;0;0;1;1;0;4;17;0
0;0;0;1;1;0;4;16;1
1;0;0;0;1;0;4;17;0
0;0;0;0;1;1;3;16;0
0;0;0;0;1;1;3;17;1
0;0;0;1;1;0;3;16;0
0;0;0;1;1;1;3;16;1
1;0;0;0;1;0;2;17;1
0;0;0;0;1;1;3;17;0
0;0;0;1;1;0;2;16;1
0;0;0;0;1;1;4;17;1
0;0;0;1;1;1;3;16;1
0;0;0;1;1;1;3;16;1
0;0;0;0;1;1;3;17;0
0;0;0;0;1;0;3;17;1
0;0;0;0;1;0;3;16;1
0;0;0;0;1;0;3;17;0
2;0;0;1;1;0;4;17;0
0;0;0;0;1;0;2;16;1
1;0;0;0;1;0;3;16;1
1;0;0;0;1;1;2;17;1
0;0;0;0;1;0;3;17;1
1;0;0;1;1;0;4;16;1
0;1;0;0;1;0;4;17;1
0;0;0;1;1;0;2;16;1
0;0;0;0;1;0;5;16;1
0;0;1;1;1;0;3;16;1
0;0;0;1;1;0;4;17;1
0;0;0;0;1;0;2;17;0
0;0;0;1;1;0;5;16;1
0;1;0;1;1;1;3;17;0
0;3;0;1;1;0;3;16;0
0;0;0;1;1;1;2;16;1
0;0;0;1;1;0;2;16;1
0;0;0;1;1;1;2;17;0
2;0;0;1;1;0;3;19;0
0;0;0;1;1;1;5;17;1
0;0;1;1;1;0;4;16;1
0;1;0;1;1;0;4;18;0
0;0;0;1;1;0;1;17;1
0;0;0;1;1;0;4;17;1
0;2;0;1;1;1;5;17;0
1;1;0;1;1;0;4;18;0
1;0;0;1;1;0;3;17;0
0;0;0;1;1;0;3;17;1
0;0;0;0;1;0;5;17;0
0;1;0;0;1;1;4;17;0
0;0;1;0;1;0;1;16;1
0;0;0;1;1;0;3;18;1
0;0;0;0;1;0;2;16;1
0;1;0;0;1;1;3;18;0
0;0;0;0;1;0;4;17;1
1;0;0;1;1;0;3;17;1
0;0;1;1;1;1;2;18;0
0;0;0;0;1;1;3;17;1
1;0;0;0;1;1;3;17;1
1;0;0;1;1;0;2;17;1
0;0;1;0;1;1;5;17;0
1;0;0;1;1;0;4;16;1
0;0;0;1;1;0;2;16;0
0;0;0;0;1;1;3;16;1
1;0;0;1;1;1;2;17;1
0;0;0;0;1;1;2;16;1
0;0;0;0;1;0;1;17;1
1;1;0;0;0;0;4;18;0
0;0;0;0;1;1;5;17;1
0;0;0;1;1;0;3;17;1
0;0;0;0;1;0;5;16;0
0;0;0;0;1;0;2;16;1
2;0;0;1;1;1;4;18;0
0;0;0;0;1;0;3;16;1
1;0;0;0;1;0;2;17;1
0;3;0;0;0;1;5;22;0
0;1;0;0;1;1;3;18;0
0;0;0;1;1;0;2;16;1
0;1;0;0;0;0;5;18;0
2;0;1;0;1;0;3;16;1
0;1;0;0;0;0;5;18;0
0;0;0;0;1;0;2;16;0
0;0;0;0;1;0;2;17;1
0;1;0;0;1;0;4;17;0
0;0;0;1;1;0;3;17;1
0;0;0;0;1;0;1;19;1
0;0;0;0;1;0;4;18;1
1;0;0;1;1;1;1;17;0
1;0;0;1;1;1;2;18;1
0;0;0;1;1;0;2;18;0
0;0;0;0;1;0;2;18;1
0;0;0;0;1;0;3;17;0
0;0;0;1;1;1;3;18;0
0;0;0;1;1;0;5;18;1
0;0;0;1;1;1;4;17;1
0;0;0;1;1;0;4;18;1
1;0;0;1;1;1;5;18;1
0;0;0;0;0;1;5;18;0
2;2;0;1;1;0;5;19;0
1;0;0;1;1;1;5;18;1
0;0;0;1;1;0;3;18;1
0;0;0;1;1;1;2;17;1
0;0;0;1;1;1;3;17;1
0;0;1;1;1;1;4;17;1
0;0;0;0;0;1;1;18;0
0;0;0;1;1;0;4;18;0
1;1;1;0;1;1;4;18;0
0;0;0;1;1;0;3;18;1
0;0;0;1;1;1;4;17;0
0;1;0;0;1;0;4;17;1
0;0;0;1;1;0;2;18;1
0;0;1;0;1;0;4;18;1
0;0;0;0;1;0;5;17;1
1;0;0;1;1;0;3;17;1
0;0;0;1;1;0;3;18;1
0;0;0;1;1;0;3;17;1
0;0;0;1;1;0;4;18;1
0;0;0;1;1;0;3;18;1
0;0;0;1;1;1;2;18;1
0;0;0;1;1;0;2;17;1
0;1;0;0;1;1;3;18;1
0;0;0;1;1;0;2;17;1
0;0;0;1;1;0;2;18;1
0;0;0;1;1;0;3;17;1
2;0;0;1;1;0;4;19;0
2;0;0;1;1;1;5;18;0
1;0;0;1;1;0;3;18;1
0;0;0;1;1;1;2;18;1
0;0;0;0;1;1;4;18;1
1;0;0;1;1;0;1;17;1
0;0;0;1;1;0;3;17;1
1;0;0;1;1;0;2;17;1
2;1;0;0;1;1;4;19;1
2;1;0;1;1;0;3;18;1
2;0;0;0;1;0;3;20;1
2;1;0;1;1;1;4;19;0
1;1;0;0;1;1;3;19;1
2;1;1;0;1;0;3;19;1
2;1;0;0;1;1;4;19;0
2;0;0;0;0;1;1;19;1
2;1;0;0;1;0;2;19;1
2;1;0;1;1;1;2;19;1
2;2;0;0;1;1;2;19;1
2;1;0;0;1;1;2;19;1
0;0;0;1;1;0;3;18;0
0;0;0;1;1;1;4;18;0
1;0;0;1;1;0;4;17;1
0;0;0;1;1;0;4;18;1
0;0;0;1;1;1;2;17;1
0;0;0;0;1;1;2;17;0
0;0;0;1;1;0;2;17;1
1;0;0;0;1;0;3;17;1
1;0;0;0;1;0;3;17;1
0;0;0;0;1;0;3;18;1
0;0;0;0;1;0;5;17;1
0;0;0;0;1;0;5;17;1
0;0;0;1;1;0;4;17;0
0;0;0;1;1;1;3;17;1
0;0;0;0;1;0;5;18;0
1;0;0;0;1;1;3;17;1
0;0;0;0;1;0;4;18;0
2;0;0;0;1;1;3;18;0
0;0;0;0;1;0;4;18;0
0;0;0;0;1;0;5;17;1
2;1;0;1;1;0;3;19;1
0;0;0;1;1;1;2;17;0
0;0;0;0;1;0;3;18;1
0;0;0;1;1;0;3;17;1
2;1;0;1;1;1;4;19;1
1;1;0;0;1;0;3;18;0
0;0;0;0;1;1;3;18;1
1;1;0;0;1;1;1;17;0
0;0;0;0;1;0;3;18;1
0;0;0;0;1;1;3;18;1
0;0;0;0;1;1;2;18;1
0;0;0;1;1;1;5;18;0
0;0;0;1;1;1;3;17;1
0;1;0;0;1;0;5;18;1
2;3;0;0;1;0;4;19;0
0;0;0;1;1;0;4;17;1
0;1;0;0;0;1;3;18;0
2;1;0;0;1;0;4;19;0
0;0;0;1;1;1;5;17;1
1;0;0;0;1;1;4;18;0
1;0;0;1;1;0;3;17;1
0;0;0;0;1;1;3;17;1
1;0;0;0;1;1;2;18;1
1;0;0;0;1;0;2;18;1
0;0;0;0;1;1;4;18;1
0;1;0;0;0;0;3;18;1
0;0;0;0;1;1;2;18;1
0;0;0;1;1;1;4;17;1
1;0;0;0;1;0;2;17;1
0;0;0;1;1;0;4;18;1
0;0;0;1;1;1;2;18;1
0;1;0;1;1;1;1;17;0
1;0;0;1;1;1;3;18;1
1;0;0;1;1;1;2;18;1
2;2;0;0;1;1;2;19;0
1;0;0;1;0;1;3;18;1
0;0;0;0;1;1;3;17;1
0;0;0;0;1;0;5;17;0
0;0;0;0;1;0;4;18;1
0;0;0;0;1;0;2;18;1
2;2;0;1;1;1;3;20;1
0;0;0;1;1;0;3;18;1
0;0;0;1;1;1;3;18;1
0;0;0;1;1;0;4;17;1
1;0;0;1;1;0;4;18;1
0;0;0;0;1;1;3;18;0
1;0;0;0;1;0;3;17;1
0;1;0;0;1;0;2;19;0
1;1;0;1;1;0;3;18;0
0;0;0;1;1;0;3;18;1
0;0;0;1;1;1;3;18;0
0;1;0;0;1;0;2;19;0
0;0;0;1;1;0;4;18;0
0;1;0;0;1;0;1;18;0
2;2;0;1;1;0;4;20;0
0;0;0;0;1;0;5;17;1
2;3;0;0;1;0;3;21;0
0;0;0;0;1;0;1;18;1
1;0;0;0;1;0;3;19;0
